Name,Team,G,PA,H,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid
Justin Turner,Dodgers,151,622,153,27,79,90,4,7.70%,17.20%,0.218,0.293,0.275,0.339,0.493,0.353,124,0.2,18.6,16,5.6,5235
Daniel Murphy,Nationals,142,582,184,25,88,104,5,6.00%,9.80%,0.249,0.348,0.347,0.39,0.595,0.408,156,3.4,43.3,-7.6,5.5,4316
Kyle Seager,Mariners,158,676,166,30,89,99,3,10.20%,16.00%,0.221,0.295,0.278,0.359,0.499,0.363,133,-2,24.4,6,5.5,9785
Anthony Rizzo,Cubs,155,676,170,32,94,109,3,10.90%,16.00%,0.252,0.309,0.292,0.385,0.544,0.391,145,-2.8,34.6,-5.8,5.2,3473
Nolan Arenado,Rockies,160,696,182,41,116,133,2,9.80%,14.80%,0.275,0.293,0.294,0.362,0.57,0.386,124,-1.1,19.8,8.6,5.2,9777
Dustin Pedroia,Red Sox,154,698,201,15,105,74,7,8.70%,10.50%,0.131,0.339,0.318,0.376,0.449,0.358,120,-4.5,12.7,14.8,5.2,8370
Joey Votto,Reds,158,677,181,29,101,97,8,16.00%,17.70%,0.225,0.366,0.326,0.434,0.55,0.413,158,-2.7,45.7,-18.7,5,4314
Jean Segura,Diamondbacks,153,694,203,20,102,64,33,5.60%,14.60%,0.181,0.353,0.319,0.368,0.499,0.371,126,5.1,27.7,-1,5,5933
Miguel Cabrera,Tigers,158,679,188,38,92,108,0,11.00%,17.10%,0.247,0.336,0.316,0.393,0.563,0.399,152,-10,32.8,-8.4,4.9,1744
Carlos Correa,Astros,153,660,158,20,76,96,13,11.40%,21.10%,0.177,0.328,0.274,0.361,0.451,0.349,122,4,21.1,4.7,4.9,14162
Paul Goldschmidt,Diamondbacks,158,705,172,24,106,95,32,15.60%,21.30%,0.192,0.358,0.297,0.411,0.489,0.382,134,5.4,34.6,-10.4,4.8,9218
Jose Ramirez,Indians,152,618,176,11,84,76,22,7.10%,10.00%,0.15,0.333,0.312,0.363,0.462,0.355,122,8.8,24.9,0.5,4.8,13510
Jackie Bradley Jr.,Red Sox,156,636,149,26,94,87,9,9.90%,22.50%,0.219,0.312,0.267,0.349,0.486,0.354,118,5.2,18.8,6.9,4.8,12984
Jason Kipnis,Indians,156,688,168,23,91,82,15,8.70%,21.20%,0.193,0.324,0.275,0.343,0.469,0.347,117,1.1,14.8,9.1,4.8,9776
Dexter Fowler,Cubs,125,551,126,13,84,48,13,14.30%,22.50%,0.171,0.35,0.276,0.393,0.447,0.367,129,6.2,25.8,2.7,4.7,4062
Xander Bogaerts,Red Sox,157,719,192,21,115,89,13,8.10%,17.10%,0.152,0.335,0.294,0.356,0.446,0.348,113,6.1,17.7,4.2,4.7,12161
Anthony Rendon,Nationals,156,647,153,20,91,85,12,10.00%,18.10%,0.18,0.304,0.27,0.348,0.45,0.342,112,3.2,12.4,12.9,4.7,12861
Jonathan Lucroy,- - -,142,544,143,24,67,81,5,8.60%,18.40%,0.208,0.322,0.292,0.355,0.5,0.362,123,-0.7,14.2,12.5,4.5,7870
George Springer,Astros,162,744,168,29,116,82,9,11.80%,23.90%,0.196,0.317,0.261,0.359,0.457,0.353,124,-0.4,21.3,-2.9,4.5,12856
Evan Longoria,Rays,160,685,173,36,81,98,0,6.10%,21.00%,0.248,0.298,0.273,0.318,0.521,0.35,123,0.1,18.8,2,4.5,9368
David Ortiz,Red Sox,151,626,169,38,79,127,2,12.80%,13.70%,0.305,0.312,0.315,0.401,0.62,0.419,163,-9.9,37.1,-15.2,4.4,745
Brandon Belt,Giants,156,655,149,17,77,82,0,15.90%,22.60%,0.199,0.346,0.275,0.394,0.474,0.374,138,-2.8,28,-6,4.4,10264
Christian Yelich,Marlins,155,659,172,21,78,98,9,10.90%,20.90%,0.185,0.356,0.298,0.376,0.483,0.367,130,2.5,27,-5.3,4.4,11477
Cesar Hernandez,Phillies,155,622,161,6,67,39,17,10.60%,18.60%,0.099,0.363,0.294,0.371,0.393,0.335,108,1,7.1,16.1,4.4,10556
DJ LeMahieu,Rockies,146,635,192,11,104,66,11,10.40%,12.60%,0.147,0.388,0.348,0.416,0.495,0.391,128,-0.4,21.5,-0.9,4.2,9874
Nelson Cruz,Mariners,155,667,169,43,96,105,2,9.30%,23.80%,0.268,0.32,0.287,0.36,0.555,0.383,147,-3.3,34,-15.6,4.2,2434
Ben Zobrist,Cubs,147,631,142,18,94,76,6,15.20%,13.00%,0.174,0.29,0.272,0.386,0.446,0.36,124,1.7,20.6,-1.5,4,7435
Starling Marte,Pirates,129,529,152,9,71,46,47,4.30%,19.70%,0.145,0.38,0.311,0.362,0.456,0.351,121,7,20.7,1.4,4,9241
Buster Posey,Giants,146,614,155,14,82,80,6,10.40%,11.10%,0.147,0.303,0.288,0.362,0.434,0.341,116,-3.1,9.1,10.8,4,9166
Kole Calhoun,Angels,157,672,161,18,91,75,2,10.00%,17.60%,0.167,0.309,0.271,0.348,0.438,0.34,118,1.7,16,-0.1,4,11200
Charlie Blackmon,Rockies,143,641,187,29,111,82,17,6.70%,15.90%,0.228,0.35,0.324,0.381,0.552,0.394,130,3.1,26.5,-8.4,3.9,7859
