Name,Team,G,PA,H,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid
Kenny Lofton,- - -,2103,9235,2428,130,1528,781,622,10.20%,11.00%,0.124,0.326,0.299,0.372,0.423,0.352,109,68.5,181.3,139.4,62.4,246
Bobby Wallace,- - -,2383,9612,2309,34,1057,1121,201,8.10%,11.20%,0.09,0.237,0.268,0.332,0.358,0.333,104,-26.2,18.4,257.5,62.4,1013542
Joe Torre,- - -,2209,8802,2342,252,996,1185,23,8.90%,12.40%,0.155,0.318,0.297,0.365,0.452,0.364,129,-4,284.1,-9.8,62.3,1013133
Gary Sheffield,- - -,2576,10947,2689,509,1636,1676,253,13.50%,10.70%,0.222,0.285,0.292,0.393,0.514,0.391,141,9.7,575.7,-300.9,62.1,114
Willie Randolph,- - -,2202,9461,2210,54,1239,687,271,13.10%,7.10%,0.076,0.293,0.276,0.373,0.351,0.335,109,16.2,123.2,168.2,62,1010694
Buddy Bell,- - -,2405,10009,2514,201,1151,1106,55,8.40%,7.80%,0.127,0.286,0.279,0.341,0.406,0.335,108,-19.6,73.4,200.9,61.7,1000799
Dick Allen,- - -,1749,7314,1848,351,1099,1119,133,12.20%,21.30%,0.242,0.334,0.292,0.378,0.534,0.4,155,9.3,452.6,-152.2,61.3,1000137
Pee Wee Reese,Dodgers,2166,9470,2170,126,1338,885,232,12.80%,9.40%,0.108,0.289,0.269,0.366,0.377,0.35,103,30,64.4,241.7,61.3,1010776
Jake Beckley,- - -,2386,10470,2930,86,1600,1575,315,5.90%,5.50%,0.128,0.313,0.308,0.361,0.435,0.376,119,-25,265.8,10.3,61.2,1000754
Darrell Evans,- - -,2687,10737,2223,414,1344,1354,99,14.90%,13.10%,0.183,0.25,0.248,0.361,0.431,0.355,120,-6.7,244.6,-13.5,61.2,1003864
Hank Greenberg,- - -,1394,6096,1628,331,1051,1276,58,14.00%,13.80%,0.292,0.323,0.313,0.412,0.605,0.453,154,-2.3,443.8,-42.5,61.1,1004996
Ryne Sandberg,- - -,2164,9282,2386,282,1318,1061,344,8.20%,13.60%,0.167,0.304,0.285,0.344,0.452,0.351,115,23.9,178.6,103.9,60.9,1011411
